0	22958	7680000
1	22844	7680000
2	22779	7680000
3	22739	7680000
4	22648	7680000
5	22593	7680000
6	22544	7680000
7	22490	7680000
8	22464	7680000
9	22430	7680000
10	22373	7680000
11	22334	7680000
12	22333	7680000
13	22337	7680000
14	22362	7680000
15	22431	7680000
16	22504	7680000
17	22598	7680000
18	22688	7680000
19	22762	7680000
20	22948	7680000
21	24876	7680000
22	24715	7680000
23	24646	7680000
24	24934	7680000
25	24150	7680000
26	23159	7680000
27	23170	7680000
28	23254	7680000
29	23350	7680000
30	23405	7680000
31	23652	7680000
32	24051	7680000
33	24464	7680000
34	24854	7680000
35	25140	7680000
36	25272	7680000
37	25361	7680000
38	25355	7680000
39	25275	7680000
40	25100	7680000
41	24835	7680000
42	24493	7680000
43	24068	7680000
44	23667	7680000
45	23366	7680000
46	23351	7680000
47	23044	7680000
48	22939	7680000
49	22912	7680000
50	22860	7680000
51	22749	7680000
52	22638	7680000
53	22529	7680000
54	22428	7680000
55	22374	7680000
56	22305	7680000
57	22301	7680000
58	22254	7680000
59	22185	7680000
60	22191	7680000
61	22173	7680000
62	22184	7680000
63	22197	7680000
64	22208	7680000
65	22199	7680000
66	22236	7680000
67	22274	7680000
68	23389	7680000
69	22364	7680000
70	22377	7680000
71	22478	7680000
72	22484	7680000
73	22526	7680000
74	22546	7680000
75	22521	7680000
76	22489	7680000
77	22416	7680000
78	22347	7680000
79	22290	7680000
80	22280	7680000
81	22407	7680000
82	22674	7680000
83	23000	7680000
84	23403	7680000
85	23768	7680000
86	23984	7680000
87	24167	7680000
88	24190	7680000
89	24156	7680000
90	23974	7680000
91	23694	7680000
92	23287	7680000
93	22879	7680000
94	22591	7680000
95	22491	7680000
96	22583	7680000
97	22705	7680000
98	22786	7680000
99	22888	7680000
